product_codes,product_name,product_category,quantity,exfactory_price,retailer_price,wholesaler_price,returnable
MBDL3488,ALVARO PEAR PET 330ML,APNADS,934,81.51,96,88,NO
MBDL3417,CAN HEINEKEN 330ML,BEERS,0,361.34,415,386,NO
MBDL3512,GUINNESS CAN 330ML 12*1,BEERS,0,136.08,154,143,NO
MBDL3437,GUINNESS MALTA CAN 330ML 12X1,BEERS,0,100.3,120,107.5,NO
MBDL3432,STAR MINI 330ML,BEERS,0,139.08,160,150,YES
MBDL3419,GUINNESS CAN 330ML 24*1,BEERS,162,272.15,307,286,NO
MBDL3431,STAR LARGE 625ML,BEERS,923,112.23,129,119,YES
MBDL3435,GUINNESS MALTA CAN 330ML 24X1,BEERS,"1,248",200.6,230,215,NO
MBDL3423,GULDER 625ML,BEERS,"2,590",120.04,139,130,YES
MBDL3438,GUINNESS MALTA PET 330ML,BEERS,"3,797",90.53,110,98,NO
MBDL3429,ORIJIN MINI 330ML,BEERS,"2,291",155.79,179,168,YES
MBDL3421,ABC MINI 330,BEERS,"4,164",119.53,136,128,YES
MBDL3428,ORIJIN LARGE 625ML,BEERS,"6,566",110.34,128,119,YES
MBDL3436,GUINNESS MALTA 330ML,BEERS,"9,980",159.43,179,169,YES
MBDL3440,BAILEYS 20CL,IPS,0,82.15,91.67,88.33,NO
MBDL3441,BAILEYS 75CL,IPS,0,271.21,339.33,309,NO
MBDL3530,BAILEYS STRAWBERRIES 70CL,IPS,0,314.06,355.83,340,NO
MBDL3442,C. MORGAN RUM BLACK,IPS,0,210.03,233.75,220,NO
MBDL3443,C.MORGAN SPIC.GOLD 1LT,IPS,0,156.82,185.5,171.33,NO
MBDL3446,GORDONS DRY GIN 20CL,IPS,0,48.63,59.58,54.48,NO
MBDL3510,GORDONS PINK 75CL,IPS,0,89.21,101.25,96.67,NO
MBDL3447,J & B RARE 1LT,IPS,0,120.59,143.75,132.92,NO
MBDL3453,J W RED LABEL 75CL 12X1,IPS,0,174.49,204.17,190.83,NO
MBDL3508,JW BLACK LABEL ICONS 1LT,IPS,0,302.87,360.92,333.17,NO
MBDL3460,TALISKER 70CL,IPS,0,675.11,807.69,742.46,NO
MBDL3461,TANQUARY GIN 75CL,IPS,0,208.58,261.08,237.75,NO
MBDL3451,J W DOUBLE BLACK 75CL,IPS,3,511.43,566.67,541.67,NO
MBDL3528,GORDONS DRY GIN GMC 75cl,IPS,37,89.21,100,95,NO
MBDL3524,C. MORGAN SPC. GLD 20CL,IPS,163,32.99,35.42,34.42,NO
MBDL3523,C. MORGAN SPC GLD 75CL,IPS,58,109.84,124.58,115.83,NO
MBDL3464,SMF CHOCOLATE 75CL,IPS,82,89.21,101.25,96.67,NO
MBDL3529,GORDONS DRY GIN GMC 20CL,IPS,317,27.32,30.15,28.75,NO
MBDL3445,GORDONS DRY GIN 1LT,IPS,57,176.25,197.5,190.08,NO
MBDL3515,GORDONS PINK 20CL,IPS,706,29.1,31.25,31.04,NO
MBDL3455,JW RED LABEL 20CL 24X1,IPS,409,58.17,63.33,62.5,NO
MBDL3450,J W BLACK LABEL 75CL,IPS,80,352.56,406.67,386.67,NO
MBDL3449,J W BLACK LABEL 20CL,IPS,395,95.83,107.5,103.42,NO
MBDL3457,SMF .RED VODKA 20CL,IPS,"1,270",45.47,46.88,45.83,NO
MBDL3470,BAILEYS 1L,IPS,196,314.18,355.83,340,NO
MBDL3448,J & B RARE 20CL,IPS,"1,778",37.79,44.98,41.56,NO
MBDL3452,J W RED LABEL 1LT,IPS,287,244.41,291.67,266.67,NO
MBDL3459,SMF. RED 1LT,IPS,413,176.25,197.5,190.08,NO
MBDL3454,JW BLACK LABEL 1LT,IPS,202,451.27,535.25,504.17,NO
