SKU NAME,Returnable,CODE NAME," WHOLE
SALE ", RETAIL 
ABC Golden  Lag 300ml  RET 24*1,Returnable,ABC, 80.11 , 85.00 
Alvaro Passion 330ml PET 12*1,Non-Returnable,ALV P, 56.30 , 61.00 
Alvaro Pear 330ml PET 12*1,Non-Returnable,ALV P, 56.30 , 61.00 
Alvaro Pineapple  PET 12*1,Non-Returnable,ALV P, 56.30 , 61.00 
Guinness FES  330ml RET 24*1,Returnable,FES, 128.00 , 136.00 
Guinness Malt 330ml RET 24*1,Returnable,MG, 88.00 , 93.00 
Mlt Choco 330ml RET 24*1,Returnable,MG CHO, 88.00 , 93.00 
Gulder Lager  625ml RET 12*1,Returnable,GUL, 81.50 , 87.00 
Guinness Malt 330ml PET 12*1,Non-Returnable,PET MG, 56.30 , 61.00 
Heineken Lager Keg 30cl,Returnable,H/L KEG, 665.00 , 665.00 
Heineken Lager 330ml (06*4),Non-Returnable,H/L, 323.00 , 347.00 
Heineken Lager 330ml (24*1),Non-Returnable,H/L, 323.00 , 342.00 
Heineken Can 330ml(06*04),Non-Returnable,C/H, 309.00 , 332.00 
Heineken Can 330ml(24*1),Non-Returnable,C/H, 309.00 , 332.00 
Orijin 330ml RET 24*1,Returnable,O/M, 100.00 , 107.00 
Orijin 625ml RET 12*1,Returnable,O/L, 80.00 , 86.00 
Star lager 330ml RET 24*1,Returnable,S/M, 89.40 , 95.00 
Star lager625ml RET 12*1,Returnable,S/L, 81.00 , 86.00 
Star Lager KEG 30cl ,Returnable,ST/L KEG, 325.00 , 325.00 
Malta Guinness 330ml 24*1 Can,Non-Returnable,MG CAN, 136.00 , 147.00 
Malta Guinness 330ml 12*1 Can,Non-Returnable,MG CAN, 69.00 , 74.50 
FES 330ml 24*1 Can,Non-Returnable,FES CAN, 135.00 , 147.00 
FES 330ml 12*1 Can,Non-Returnable,FES CAN, 69.50 , 75.00 
FES 330ml 06*1 Can,Non-Returnable,FES CAN, 36.00 , 39.00 
Orijin RTD 330ml 24*1 Can,Non-Returnable,OJ CAN, 110.00 , 120.00 
Smir Ice 330ml NRB 24*1 CTN,Non-Returnable,ICE, 212.00 , 229.00 
Smir Ice Pine  330ml NRM 24*1 CTN,Non-Returnable,ICE, 212.00 , 229.00 
Baileys Orig 1L 12X01,Non-Returnable,BAILEYS, 196.33 , 212.50 
Baileys Orig 20cl 24X01,Non-Returnable,BAILEYS, 53.42 , 57.92 
Baileys Orig 75cl 12X01,Non-Returnable,BAILEYS, 162.50 , 176.08 
Baileys Delight 75cl 12X01,Non-Returnable,DELIGHT, 47.83 , 52.25 
Black & White 75cl 12x1,Non-Returnable,B & W, 93.50 , 103.00 
Black & White 20cl 08 x 06,Non-Returnable,B & W, 31.25 , 34.14 
CptMrg Jam Rum 1L 12X01,Non-Returnable,CPT. RUM, 163.17 , 176.67 
CptMrg Spc Gld 1L 12X01,Non-Returnable,CPT. GLD, 163.17 , 176.67 
